Tipo_Vehiculo,Departamento_Planta,Proveedor_Componentes,Turno_Trabajo,Satisfaccion_Cliente,Eficiencia_Linea,Prioridad_Mejora,Calidad_Proveedores,Num_Robots,Defectos_por_Dia,Vehiculos_Producidos,Horas_Capacitacion,Tiempo_Ciclo,Costo_Unitario,Consumo_Energia,Temperatura_Planta
sedan,mantenimiento,Panasonic,mañana,neutral,alto,alta,pobre,8,0,149,7,101.59908486588692,4709.959181660156,474.893082306064,24.749667905450455
SUV,calidad,Sony,mañana,neutral,alto,alta,excelente,12,2,122,1,111.78600967185463,1054.5509909428267,517.4061539400047,27.423589256112802
sedan,mantenimiento,Bosch,noche,insatisfecho,bajo,alta,regular,5,0,192,2,96.21660770801627,2921.6857022005547,449.3770525772126,27.80830570031784
SUV,producción,Bosch,tarde,satisfecho,alto,baja,excelente,7,1,165,2,53.93374392740897,4668.6078689782535,565.3852761148164,29.881271998536793
SUV,calidad,Sony,tarde,insatisfecho,bajo,baja,bueno,9,0,185,6,43.089204306483,1679.7399432015561,478.8988063987651,26.2835082906572
camioneta,calidad,Sony,noche,satisfecho,bajo,baja,bueno,18,1,166,2,47.46522797821039,1156.8892011103858,439.4753711468195,24.74933927330092
sedan,producción,Sony,noche,satisfecho,alto,alta,bueno,15,0,132,5,119.35980194351649,2720.5824814235993,497.0405731848203,31.068140180122874
camioneta,calidad,Panasonic,tarde,satisfecho,bajo,baja,bueno,9,1,150,3,75.001926210708,2725.013299121825,566.6663599406838,28.703542693493727
sedan,producción,Bosch,mañana,neutral,medio,baja,excelente,11,0,170,2,119.68867798115463,3124.780491065779,505.6247521298814,25.30602655871837
sedan,producción,Panasonic,noche,neutral,bajo,alta,excelente,5,5,135,5,89.27436633509225,2882.589415909289,520.2998037592079,23.659165127461428
sedan,calidad,Bosch,mañana,satisfecho,medio,media,bueno,6,0,123,1,113.73855462329973,3791.975279019603,558.7242812849726,28.15958565951264
camioneta,producción,Panasonic,noche,neutral,alto,alta,regular,12,0,182,3,87.90772007643235,3167.289595152634,516.0501165269825,22.74709836363347
SUV,calidad,Sony,mañana,neutral,bajo,baja,bueno,11,1,189,5,52.19193480829205,3169.361802968606,477.9701761487851,24.23606102890258
camioneta,calidad,Panasonic,noche,insatisfecho,medio,media,bueno,10,0,179,1,58.35198907162864,3668.852994393674,411.9611786800487,27.64322773885961
camioneta,calidad,Sony,tarde,satisfecho,medio,media,excelente,10,2,127,4,111.26809700354717,3089.56048393673,547.4228213547153,27.949112235326787
sedan,producción,Bosch,noche,muy insatisfecho,medio,baja,excelente,12,0,185,4,112.98844950807721,1248.5232220927824,537.7326136915503,26.247024082078894
SUV,producción,Bosch,tarde,satisfecho,bajo,media,bueno,16,2,101,3,87.40562691771635,4245.035598219294,500.16040291785794,24.829548991149636
SUV,producción,Bosch,mañana,insatisfecho,bajo,baja,excelente,8,0,109,5,38.81063986710833,2145.8141791244498,455.14707627573074,20.41694210550805
SUV,mantenimiento,Sony,tarde,satisfecho,medio,baja,bueno,19,1,181,5,53.48199479845885,4606.601743869014,482.1193011373526,28.14897324705896
